TipType,TipTemplateId,Notice,zh_CN,en_US,pt_BR,ru_RU,ko_KR,de_DE,fr_FR,es_ES,it_IT,in_ID,th_TH,tr_TR,vi_VN,ja_JP,pl_PL
1041013,,,▢FF00CD00普通▢FFFFFFFF果树,▢FF00CD00Common▢FFFFFFFF Tree,▢FF00CD00Comum▢FFFFFFFF Tree,▢FF00CD00общий▢FFFFFFFF дерево,▢FF00CD00공유지▢FFFFFFFF 나무,▢FF00CD00Verbreitet▢FFFFFFFF Baum,▢FF00CD00Commun▢FFFFFFFF Arbre,▢FF00CD00Común▢FFFFFFFF Árbol,▢FF00CD00Comune▢FFFFFFFF Albero,▢FF00CD00Common▢FFFFFFFF Pohon,▢FF00CD00ร่วมกัน▢FFFFFFFF ต้นไม้,▢FF00CD00Common▢FFFFFFFF Tree,▢FF00CD00Chung▢FFFFFFFF Cây,▢FF00CD00一般▢FFFFFFFF 木,▢FF00CD00Wspólne▢FFFFFFFF Drzewo
1041014,,,▢FF000099稀有▢FFFFFFFF果树,▢FF000099Rare▢FFFFFFFF Tree,▢FF000099Raro▢FFFFFFFF Árvore,▢FF000099редкий▢FFFFFFFF дерево,▢FF000099드문▢FFFFFFFF 나무,▢FF000099Selten▢FFFFFFFF Baum,▢FF000099Rare▢FFFFFFFF Arbre,▢FF000099Raro▢FFFFFFFF Árbol,▢FF000099Raro▢FFFFFFFF Albero,▢FF000099Langka▢FFFFFFFF Pohon,▢FF000099หายาก▢FFFFFFFF ต้นไม้,▢FF000099Rare▢FFFFFFFF Tree,▢FF000099Hiếm hoi▢FFFFFFFF Cây,▢FF000099まれな▢FFFFFFFF 木,▢FF000099Rzadkie▢FFFFFFFF Drzewo
1041015,,,▢FF660088史诗▢FFFFFFFF果树,▢FF660088Epic▢FFFFFFFF Tree,▢FF660088Épico▢FFFFFFFF Árvore,▢FF660088эпический▢FFFFFFFF дерево,▢FF660088서사시▢FFFFFFFF 나무,▢FF660088Epos▢FFFFFFFF Baum,▢FF660088Épique▢FFFFFFFF Arbre,▢FF660088Épico▢FFFFFFFF Árbol,▢FF660088Epico▢FFFFFFFF Albero,▢FF660088Epik▢FFFFFFFF Pohon,▢FF660088มหากาพย์▢FFFFFFFF ต้นไม้,▢FF660088Epic▢FFFFFFFF Tree,▢FF660088Sử thi▢FFFFFFFF Cây,▢FF660088エピック▢FFFFFFFF 木,▢FF660088Epicki▢FFFFFFFF Drzewo
1041016,,,▢FFFFDD00传说▢FFFFFFFF果树,▢FFFFDD00Legendary▢FFFFFFFF Tree,▢FFFFDD00Lendário▢FFFFFFFF Árvore,▢FFFFDD00легендарный▢FFFFFFFF дерево,▢FFFFDD00전설적인▢FFFFFFFF 나무,▢FFFFDD00Legendär▢FFFFFFFF Baum,▢FFFFDD00Légendaire▢FFFFFFFF Arbre,▢FFFFDD00Legendario▢FFFFFFFF Árbol,▢FFFFDD00Leggendario▢FFFFFFFF Albero,▢FFFFDD00Legendaris▢FFFFFFFF Pohon,▢FFFFDD00ปรัมปรา▢FFFFFFFF ต้นไม้,▢FFFFDD00Legendary▢FFFFFFFF Tree,▢FFFFDD00Huyền thoại▢FFFFFFFF Cây,▢FFFFDD00伝説の▢FFFFFFFF 木,▢FFFFDD00Legendarny▢FFFFFFFF Drzewo
1041017,,,芒果田,Mango Field,Campo de manga,Манго поле,망고 필드,Mangofeld,Champ de mangue,Campo de mango,Campo di mango,Kebun Mangga,ทุ่งมะม่วง,Mango Field,Cánh đồng xoài,マンゴーフィールド,Pole mango
1041018,,,香蕉田,Banana Field,Campo de banana,Банановое поле,바나나 필드,Bananenfeld,Champ de bananes,Banana Field,Campo di Banana,Bidang Pisang,สนามกล้วย,Banana Field,Cánh đồng chuối,バナナ畑,Bananowe Pole
1041019,,,西瓜田,Watermelon Field,Campo de melancia,Арбузное поле,수박 필드,Wassermelonenfeld,Champ de pastèque,Campo de sandia,Campo di anguria,Bidang Semangka,ทุ่งแตงโม,Watermelon Field,Cánh đồng dưa hấu,スイカ畑,Pole arbuza
1041020,,,葡萄田,Grape Field,Campo de uva,Виноградное поле,포도밭,Weintraube,Champ de raisin,Campo de uva,Campo d'uva,Bidang Anggur,ไร่องุ่น,Grape Field,Cánh đồng nho,グレープフィールド,Pole winogron
1041021,,,奇异果田,Kiwi Field,Campo de kiwi,Киви Филд,키위 필드,Kiwifeld,Kiwi Field,Campo de kiwi,Campo di Kiwi,Lapangan Kiwi,สนามกีวี่,Kiwi Field,Cánh đồng kiwi,キウイフィールド,Pole kiwi
1041022,,,草莓田,Strawberry Field,Plantacao de morango,Клубничное поле,딸기 들판,Erdbeerfeld,Champ de fraises,Campo de fresas,Campo di fragole,Strawberry Field,สนามสตรอเบอร์รี่,Strawberry Field,Cánh đồng dâu,イチゴ畑,Strawberry Field
1041023,,,柠檬田,Lemon Field,Campo de limão,Лимонное поле,레몬 필드,Zitronenfeld,Champ de citron,Campo de limon,Campo di limone,Bidang Lemon,เลมอนฟิลด์,Lemon Field,Cánh đồng chanh,レモン畑,Lemon Field
1041024,,,蓝莓田,Blueberry Field,Campo de mirtilo,Черничное поле,블루 베리 필드,Blaubeerfeld,Champ de myrtilles,Campo de arándanos,Campo dei mirtilli,Bidang Blueberry,บลูเบอร์รี่ฟิลด์,Blueberry Field,Cánh đồng việt quất,ブルーベリーフィールド,Pole jagodowe
1041025,,,桃子田,Peach Field,Campo de pêssego,Персиковое поле,복숭아 밭,Pfirsichfeld,Champ de pêche,Campo de durazno,Campo di pesca,Bidang Persik,ทุ่งพีช,Peach Field,Cánh đồng đào,ピーチフィールド,Pole brzoskwiniowe
1041026,,,橙子田,Orange Field,Campo laranja,Оранжевое поле,오렌지 필드,Orange Feld,Champ orange,Campo naranja,Orange Field,Lapangan Oranye,ทุ่งส้ม,Orange Field,Cánh đồng cam,オレンジフィールド,Pomarańczowe pole
1041027,,,木瓜田,Papaya Field,Campo de mamão,Поле папайи,파파야 필드,Papaya-Feld,Champ de papaye,Campo de papaya,Campo di papaia,Lapangan Pepaya,ทุ่งมะละกอ,Papaya Field,Cánh đồng đu đủ,パパイヤフィールド,Pole papai
1041028,,,哈密瓜田,Melon Field,Campo de melão,Дыня поле,멜론 필드,Melonenfeld,Champ de melon,Campo de melon,Campo di melone,Field Melon,ทุ่งแตงโม,Melon Field,Cánh đồng dưa,メロン畑,Pole melona
1041029,,,西红柿田,Tomato Field,Campo de tomate,Томатное поле,토마토 필드,Tomatenfeld,Champ de tomates,Campo de tomate,Campo di pomodori,Bidang Tomat,สนามมะเขือเทศ,Tomato Field,Cánh đồng cà chua,トマト畑,Pole Pomidorów
1041030,,,获得 ▢FFFFCC66战斗点数▢FFFFFFFF x%1s,Received ▢FFFFCC66fight point▢FFFFFFFF x%1s,Recebido ▢FFFFCC66ponto de luta▢FFFFFFFF x%1s,Получено ▢FFFFCC66точка боя▢FFFFFFFF x%1s,받은 ▢FFFFCC66싸우다▢FFFFFFFF x%1s,Empfangen ▢FFFFCC66Kampfpunkt▢FFFFFFFF x%1s,Reçu ▢FFFFCC66point de combat▢FFFFFFFF x%1s,Recibido ▢FFFFCC66punto de lucha▢FFFFFFFF x%1s,ricevuto ▢FFFFCC66punto di lotta▢FFFFFFFF x%1s,Diterima ▢FFFFCC66titik pertarungan▢FFFFFFFF x%1s,ที่ได้รับ ▢FFFFCC66จุดต่อสู้▢FFFFFFFF x%1s,Received ▢FFFFCC66fight point▢FFFFFFFF x%1s,Nhận ▢FFFFCC66điểm chiến đấu▢FFFFFFFF x%1s,受け取った ▢FFFFCC66戦闘ポイント▢FFFFFFFF x%1s,Otrzymane ▢FFFFCC66Punkt walki▢FFFFFFFF x%1s
